Date,Close,Open,High,Low,Vol.,Change %
12/29/2023,116.53,116.88,116.93,116.07,26.27K,-0.30%
12/28/2023,116.88,116.91,117.05,116.82,23.88K,0.06%
12/27/2023,116.81,116.7,116.89,116.48,33.65K,0.16%
12/26/2023,116.62,116.14,116.81,116.14,25.68K,0.43%
12/22/2023,116.12,116.14,116.49,115.64,21.06K,0.19%
12/21/2023,115.9,115.36,115.9,114.92,22.07K,1.13%
12/20/2023,114.61,116.18,116.6,114.61,35.33K,-1.94%
12/19/2023,116.88,116.35,116.88,116.29,21.78K,0.67%
12/18/2023,116.1,115.88,116.29,115.83,38.31K,0.52%
12/15/2023,115.5,115.49,115.76,115.23,49.32K,-0.16%
12/14/2023,115.68,115.78,116.09,115.0,41.05K,0.56%
12/13/2023,115.04,113.43,115.17,113.41,51.29K,1.46%
12/12/23,113.39,112.9,113.43,112.64,21.07K,0.39%
12/11/23,112.95,112.37,112.98,112.37,68.46K,0.42%
12/08/23,112.48,111.76,112.58,111.72,18.89K,0.48%
12/07/23,111.95,111.6,112.08,111.49,23.60K,0.77%
12/06/23,111.1,111.97,112.12,111.02,139.99K,-0.37%
12/05/23,111.51,111.21,111.76,111.21,19.18K,-0.17%
12/04/23,111.7,111.33,111.71,111.11,22.15K,-0.43%
12/01/23,112.18,111.09,112.28,111.09,27.53K,0.70%
11/30/2023,111.4,111.21,111.42,110.65,36.30K,0.48%
11/29/2023,110.87,111.33,111.77,110.8,32.32K,0.02%
11/28/2023,110.85,110.58,111.15,110.49,32.13K,0.05%
11/27/2023,110.8,110.81,111.01,110.68,23.80K,-0.14%
11/24/2023,110.96,110.83,110.99,110.83,5.58K,0.07%
11/22/2023,110.88,110.81,111.08,110.55,25.76K,0.48%
11/21/2023,110.35,110.31,110.45,110.17,15.23K,-0.20%
11/20/2023,110.57,109.77,110.82,109.77,26.19K,0.74%
11/17/2023,109.76,109.71,109.93,109.45,28.79K,0.17%
11/16/2023,109.57,109.35,109.64,109.13,92.11K,0.02%
11/15/2023,109.55,109.62,110.0,109.39,19.18K,0.19%
11/14/2023,109.34,108.57,109.59,108.57,37.48K,2.13%
11/13/2023,107.06,106.75,107.26,106.67,20.37K,-0.06%
11/10/23,107.12,106.01,107.12,105.73,26.78K,1.55%
