security,correlation,beta,r2,benchmark
KIMBERA,-0.10668,-0.35929,0.01138,USDEUR
GFNORTEO,-0.11314,-0.48215,0.0128,USDEUR
PINFRA,-0.11396,-0.38972,0.01299,USDEUR
GFINBURO,-0.11407,-0.46606,0.01301,USDEUR
OMAB,-0.11539,-0.5033,0.01332,USDEUR
ALPEKA,-0.11896,-0.55807,0.01415,USDEUR
GCARSOA1,-0.1223,-0.56847,0.01496,USDEUR
USB,-0.14378,-0.57047,0.02067,USDEUR
NFLX,-0.14947,-0.85366,0.02234,USDEUR
NVDA,-0.15127,-1.04032,0.02288,USDEUR
BAC,-0.15873,-0.56641,0.0252,USDEUR
CEMEXCPO,-0.16562,-0.78983,0.02743,USDEUR
GMEXICOB,-0.16599,-0.81745,0.02755,USDEUR
QCOM,-0.19208,-0.96621,0.03689,USDEUR
MARA,-0.19483,-2.95145,0.03796,USDEUR
SOX,-0.19523,-0.92792,0.03812,USDEUR
BRKb,-0.19603,-0.44508,0.03843,USDEUR
BBVA,-0.19725,-0.81393,0.03891,USDEUR
SOXL,-0.19927,-2.77787,0.03971,USDEUR
IVW,-0.20727,-0.57838,0.04296,USDEUR
NASDAQ,-0.21042,-0.63472,0.04428,USDEUR
XLV,-0.21575,-0.41123,0.04655,USDEUR
MXX,-0.2165,-0.43531,0.04687,USDEUR
MSCI_EM,-0.21956,-0.45578,0.04821,USDEUR
DJI,-0.22356,-0.43352,0.04998,USDEUR
PEOLES,-0.22797,-1.37908,0.05197,USDEUR
SPX,-0.23553,-0.52613,0.05547,USDEUR
QUAL,-0.24221,-0.55564,0.05867,USDEUR
IWD,-0.26812,-0.53114,0.07189,USDEUR
MSCI_W,-0.34229,-0.65061,0.11716,USDEUR
IAU,-0.41691,-0.84738,0.17382,USDEUR
SPX,1.0,1.0,1.0,SPX
QUAL,0.9792,1.00534,0.95883,SPX
IVW,0.96386,1.20429,0.92903,SPX
MSCI_W,0.96305,0.82443,0.92746,SPX
NASDAQ,0.94819,1.28076,0.89907,SPX
DJI,0.91919,0.79771,0.84491,SPX
IWD,0.89672,0.79497,0.80411,SPX
SOX,0.82911,1.767,0.68742,SPX
SOXL,0.82856,5.17835,0.68652,SPX
NVDA,0.70267,2.16331,0.49375,SPX
QCOM,0.69907,1.57383,0.4887,SPX
XLV,0.67273,0.57377,0.45256,SPX
BRKb,0.64737,0.65779,0.41909,SPX
BAC,0.61225,0.97772,0.37485,SPX
