Fecha,Close,Apertura,Máximo,Mínimo,Vol.,% var.
23.11.2023,"96,020","96,020","96,030","96,015","94,24K","-0,01%"
22.11.2023,"96,025","96,020","96,030","96,020","66,25K","0,01%"
21.11.2023,"96,020","96,015","96,025","96,015","79,54K","0,00%"
20.11.2023,"96,020","96,015","96,030","96,015","117,36K","0,00%"
17.11.2023,"96,020","96,025","96,025","96,015","114,39K","0,00%"
16.11.2023,"96,020","96,015","96,025","96,010","81,18K","0,01%"
15.11.2023,"96,015","96,020","96,030","96,015","85,72K","-0,01%"
14.11.2023,"96,025","96,020","96,025","96,010","154,66K","0,03%"
13.11.2023,"95,998","96,015","96,015","96,015","5,28K","-0,02%"
10.11.2023,"96,015","96,025","96,025","96,015","25,17K","-0,01%"
09.11.2023,"96,025","96,025","96,030","96,020","14,39K","-0,01%"
08.11.2023,"96,030","96,035","96,035","96,025","35,93K","-0,01%"
07.11.2023,"96,035","96,035","96,035","96,030","6,96K","0,00%"
06.11.2023,"96,035","96,035","96,035","96,030","7,67K","-0,01%"
03.11.2023,"96,040","96,035","96,040","96,030","14,40K","0,00%"
02.11.2023,"96,040","96,040","96,050","96,035","30,00K","-0,01%"
01.11.2023,"96,045","96,045","96,045","96,040","9,47K","0,01%"
31.10.2023,"96,040","96,040","96,045","96,035","16,11K","0,00%"
30.10.2023,"96,040","96,045","96,050","96,035","22,07K","-0,01%"
27.10.2023,"96,045","96,040","96,045","96,035","11,07K","0,01%"
26.10.2023,"96,040","96,025","96,040","96,020","24,25K","0,02%"
25.10.2023,"96,020","96,015","96,025","96,010","29,51K","0,01%"
24.10.2023,"96,015","96,005","96,020","96,005","18,05K","0,01%"
23.10.2023,"96,005","96,005","96,010","96,000","13,89K","0,00%"
20.10.2023,"96,005","95,995","96,005","95,990","16,68K","0,02%"
19.10.2023,"95,990","96,000","96,000","95,990","18,13K","-0,01%"
18.10.2023,"96,000","96,000","96,000","95,995","11,96K","0,01%"
17.10.2023,"95,995","96,005","96,010","95,995","13,00K","-0,03%"
16.10.2023,"96,025","96,025","96,025","96,020","6,66K","-0,01%"
13.10.2023,"96,030","96,035","96,040","96,025","31,48K","0,00%"
12.10.2023,"96,030","96,035","96,040","96,030","10,22K","-0,01%"
11.10.2023,"96,040","96,025","96,040","96,025","26,93K","0,02%"
10.10.2023,"96,025","96,030","96,030","96,025","19,77K","-0,01%"
09.10.2023,"96,030","96,030","96,035","96,025","15,00K","0,00%"
06.10.2023,"96,030","96,045","96,045","96,025","34,62K","-0,02%"
05.10.2023,"96,045","96,045","96,050","96,035","14,95K","0,00%"
04.10.2023,"96,045","96,050","96,050","96,040","13,51K","-0,01%"
03.10.2023,"96,050","96,055","96,060","96,040","28,54K","0,00%"
02.10.2023,"96,050","96,045","96,055","96,040","14,39K","0,00%"
29.09.2023,"96,050","96,035","96,050","96,035","21,90K","0,01%"
