Fecha,BONOMX10,BONOUSA10,Close
14/01/19 0:00,8.62,2.706,5.914
15/01/19 0:00,8.65,2.718,5.932
16/01/19 0:00,8.63,2.727,5.903
17/01/19 0:00,8.69,2.75,5.94
18/01/19 0:00,8.67,2.788,5.882
21/01/19 0:00,8.71,2.773,5.937
22/01/19 0:00,8.69,2.741,5.949
23/01/19 0:00,8.63,2.75,5.88
24/01/19 0:00,8.48,2.716,5.764
25/01/19 0:00,8.42,2.759,5.661
28/01/19 0:00,8.45,2.748,5.702
29/01/19 0:00,8.4,2.71,5.69
30/01/19 0:00,8.53,2.678,5.852
31/01/19 0:00,8.47,2.633,5.837
01/02/19 0:00,8.47,2.684,5.786
05/02/19 0:00,8.41,2.704,5.706
06/02/19 0:00,8.4,2.7,5.7
07/02/19 0:00,8.41,2.657,5.753
08/02/19 0:00,8.34,2.634,5.706
11/02/19 0:00,8.48,2.654,5.826
12/02/19 0:00,8.38,2.686,5.694
13/02/19 0:00,8.54,2.709,5.831
14/02/19 0:00,8.4,2.655,5.745
15/02/19 0:00,8.27,2.664,5.606
18/02/19 0:00,8.37,2.673,5.697
19/02/19 0:00,8.34,2.636,5.704
20/02/19 0:00,8.35,2.648,5.702
21/02/19 0:00,8.33,2.695,5.635
22/02/19 0:00,8.32,2.654,5.666
25/02/19 0:00,8.24,2.668,5.572
26/02/19 0:00,8.07,2.638,5.432
27/02/19 0:00,8.1,2.686,5.414
28/02/19 0:00,8.198,2.717,5.481
01/03/19 0:00,8.13,2.759,5.371
04/03/19 0:00,8.17,2.724,5.446
05/03/19 0:00,8.13,2.719,5.411
06/03/19 0:00,8.084,2.693,5.391
07/03/19 0:00,8.104,2.641,5.463
08/03/19 0:00,8.044,2.63,5.414
11/03/19 0:00,8.02,2.641,5.379
12/03/19 0:00,8.012,2.6,5.412
13/03/19 0:00,8.01,2.625,5.385
15/03/19 0:00,8.02,2.591,5.429
18/03/19 0:00,8.04,2.605,5.435
19/03/19 0:00,8.03,2.618,5.412
20/03/19 0:00,7.976,2.524,5.452
21/03/19 0:00,7.93,2.539,5.391
22/03/19 0:00,7.89,2.437,5.453
25/03/19 0:00,7.84,2.405,5.435
26/03/19 0:00,7.89,2.425,5.465
27/03/19 0:00,7.94,2.381,5.559
28/03/19 0:00,7.96,2.391,5.569
29/03/19 0:00,8.01,2.407,5.603
01/04/19 0:00,7.99,2.503,5.487
