Fecha,Close,Apertura,Máximo,Mínimo,Vol.,% var.
24.05.2021,"146,23","146,09","146,39","146,00","572,57K","0,19%"
21.05.2021,"145,95","145,92","146,19","145,81","337,94K","0,04%"
20.05.2021,"145,89","145,33","145,98","145,23","347,79K","0,47%"
19.05.2021,"145,20","145,73","146,02","145,06","382,65K","-0,34%"
18.05.2021,"145,70","145,63","145,95","145,55","217,58K","-0,04%"
17.05.2021,"145,77","145,84","146,23","145,58","182,87K","-0,03%"
14.05.2021,"145,81","145,45","145,95","145,38","257,61K","0,32%"
13.05.2021,"145,34","144,89","145,58","144,78","359,16K","0,31%"
12.05.2021,"144,89","145,80","146,00","144,81","436,09K","-0,62%"
11.05.2021,"145,80","146,09","146,27","145,72","236,77K","-0,18%"
10.05.2021,"146,06","146,31","146,63","145,97","268,47K","-0,20%"
07.05.2021,"146,36","146,41","147,84","146,27","422,13K","-0,13%"
06.05.2021,"146,55","146,38","146,59","146,16","243,40K","0,22%"
05.05.2021,"146,22","146,09","146,44","145,66","238,31K","0,07%"
04.05.2021,"146,11","145,94","146,59","145,69","273,88K","0,13%"
03.05.2021,"145,92","145,55","146,30","145,16","222,24K","0,26%"
30.04.2021,"145,55","145,42","145,70","145,17","299,79K","0,09%"
29.04.2021,"145,42","145,78","145,81","144,78","268,46K","-0,18%"
28.04.2021,"145,69","145,67","145,86","145,13","296,62K","0,01%"
27.04.2021,"145,67","146,41","146,41","145,58","223,18K","-0,48%"
26.04.2021,"146,38","146,42","146,55","145,98","183,23K","-0,03%"
23.04.2021,"146,42","146,72","146,86","146,19","160,25K","-0,07%"
22.04.2021,"146,53","146,47","146,88","146,09","242,76K","0,07%"
21.04.2021,"146,42","146,48","146,56","146,14","190,19K","-0,01%"
20.04.2021,"146,44","145,83","146,52","145,48","222,63K","0,35%"
19.04.2021,"145,92","146,23","146,56","145,70","205,61K","-0,25%"
16.04.2021,"146,28","146,19","146,58","145,92","253,35K","-0,37%"
15.04.2021,"146,83","145,39","146,86","145,28","401,10K","0,98%"
14.04.2021,"145,41","145,61","145,70","145,20","237,32K","-0,10%"
13.04.2021,"145,55","144,95","145,66","144,47","316,35K","0,47%"
12.04.2021,"144,86","145,02","145,27","144,73","223,81K","-0,09%"
09.04.2021,"144,98","145,47","145,53","144,69","281,02K","-0,26%"
08.04.2021,"145,36","144,75","145,55","144,75","217,40K","0,20%"
07.04.2021,"145,06","144,92","145,41","144,72","252,07K","0,05%"
06.04.2021,"144,98","144,34","145,05","144,14","248,03K","0,61%"
05.04.2021,"144,11","144,11","144,41","143,77","161,23K","0,02%"
02.04.2021,"144,08","144,73","144,98","144,00","86,05K","-0,40%"
01.04.2021,"144,66","143,75","144,75","143,66","282,10K","0,67%"
31.03.2021,"143,69","144,23","144,25","143,63","527,95K","-0,24%"
30.03.2021,"144,03","144,25","144,33","143,38","438,91K","-0,07%"
29.03.2021,"144,13","144,72","145,28","144,05","247,76K","-0,56%"
26.03.2021,"144,94","145,20","145,50","144,67","242,27K","-0,42%"
25.03.2021,"145,55","145,58","145,89","145,17","341,34K","0,01%"
24.03.2021,"145,53","145,38","145,84","145,03","269,93K","0,24%"
23.03.2021,"145,19","144,47","145,50","144,34","250,29K","-0,98%"
22.03.2021,"146,63","146,55","146,56","146,44","0,07K","0,70%"
19.03.2021,"145,61","145,72","145,78","145,72","0,11K","-0,03%"
