Fecha,real_5_linear,real_5_spline,real_5_ns,real_5_sv,Close,EXP_INF_spline,EXP_INF_ns,EXP_INF_sv
19/06/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,5.041428571,5.041428571,4.851613864,4.870819251
20/06/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.901428571,4.901428571,4.711613864,4.730819251
21/06/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.891428571,4.891428571,4.701613864,4.720819251
22/06/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.801428571,4.801428571,4.611613864,4.630819251
25/06/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.831428571,4.831428571,4.641613864,4.660819251
26/06/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.781428571,4.781428571,4.591613864,4.610819251
27/06/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.801428571,4.801428571,4.611613864,4.630819251
28/06/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.745428571,4.745428571,4.555613864,4.574819251
29/06/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.731428571,4.731428571,4.541613864,4.560819251
02/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.781428571,4.781428571,4.591613864,4.610819251
03/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.661428571,4.661428571,4.471613864,4.490819251
04/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.701428571,4.701428571,4.511613864,4.530819251
05/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.661428571,4.661428571,4.471613864,4.490819251
06/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.711428571,4.711428571,4.521613864,4.540819251
09/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.741428571,4.741428571,4.551613864,4.570819251
10/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.721428571,4.721428571,4.531613864,4.550819251
11/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.721428571,4.721428571,4.531613864,4.550819251
12/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.721428571,4.721428571,4.531613864,4.550819251
13/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.771428571,4.771428571,4.581613864,4.600819251
16/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.731428571,4.731428571,4.541613864,4.560819251
17/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.701428571,4.701428571,4.511613864,4.530819251
18/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.661428571,4.661428571,4.471613864,4.490819251
19/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.711428571,4.711428571,4.521613864,4.540819251
20/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.681428571,4.681428571,4.491613864,4.510819251
23/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.691428571,4.691428571,4.501613864,4.520819251
24/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.781428571,4.781428571,4.591613864,4.610819251
25/07/18 0:00,2.928571429,2.928571429,3.118386136,3.099180749,4.761428571,4.761428571,4.571613864,4.590819251
26/07/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.098571429,5.098571429,4.906842057,4.904709842
27/07/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.138571429,5.138571429,4.946842057,4.944709842
30/07/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.098571429,5.098571429,4.906842057,4.904709842
31/07/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.140571429,5.140571429,4.948842057,4.946709842
01/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.150571429,5.150571429,4.958842057,4.956709842
02/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.098571429,5.098571429,4.906842057,4.904709842
03/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.058571429,5.058571429,4.866842057,4.864709842
06/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.048571429,5.048571429,4.856842057,4.854709842
07/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.008571429,5.008571429,4.816842057,4.814709842
08/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,4.988571429,4.988571429,4.796842057,4.794709842
09/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.028571429,5.028571429,4.836842057,4.834709842
10/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.088571429,5.088571429,4.896842057,4.894709842
13/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.138571429,5.138571429,4.946842057,4.944709842
14/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.148571429,5.148571429,4.956842057,4.954709842
15/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.266571429,5.266571429,5.074842057,5.072709842
16/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.258571429,5.258571429,5.066842057,5.064709842
17/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.218571429,5.218571429,5.026842057,5.024709842
20/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.238571429,5.238571429,5.046842057,5.044709842
21/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.188571429,5.188571429,4.996842057,4.994709842
22/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.176571429,5.176571429,4.984842057,4.982709842
23/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.168571429,5.168571429,4.976842057,4.974709842
24/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.128571429,5.128571429,4.936842057,4.934709842
27/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.098571429,5.098571429,4.906842057,4.904709842
28/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.198571429,5.198571429,5.006842057,5.004709842
29/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.218571429,5.218571429,5.026842057,5.024709842
30/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.276571429,5.276571429,5.084842057,5.082709842
31/08/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.264571429,5.264571429,5.072842057,5.070709842
03/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.288571429,5.288571429,5.096842057,5.094709842
04/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.368571429,5.368571429,5.176842057,5.174709842
05/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.402571429,5.402571429,5.210842057,5.208709842
06/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.338571429,5.338571429,5.146842057,5.144709842
