Fecha,MX_rate,USA_rate,Diferencia
2020-11-01 00:00:00,4.25,0.08633333333333333,4.163666666666667
2020-12-01 00:00:00,4.25,0.09,4.16
2021-01-01 00:00:00,4.25,0.08516129032258064,4.1648387096774195
2021-02-01 00:00:00,4.098214285714286,0.07571428571428572,4.0225
2021-03-01 00:00:00,4.0,0.06967741935483872,3.930322580645161
2021-04-01 00:00:00,4.0,0.069,3.931
2021-05-01 00:00:00,4.0,0.05806451612903226,3.9419354838709677
2021-06-01 00:00:00,4.05,0.078,3.972
2021-07-01 00:00:00,4.25,0.09806451612903226,4.151935483870968
2021-08-01 00:00:00,4.403225806451613,0.09225806451612903,4.310967741935484
2021-09-01 00:00:00,4.5,0.07933333333333333,4.4206666666666665
2021-10-01 00:00:00,4.75,0.07903225806451614,4.670967741935484
2021-11-01 00:00:00,4.908333333333333,0.07966666666666668,4.828666666666667
2021-12-01 00:00:00,5.241935483870968,0.07967741935483871,5.162258064516129
2022-01-01 00:00:00,5.5,0.07935483870967742,5.420645161290323
2022-02-01 00:00:00,5.821428571428571,0.08,5.741428571428571
2022-03-01 00:00:00,6.112903225806452,0.2009677419354839,5.911935483870968
2022-04-01 00:00:00,6.5,0.33,6.17
2022-05-01 00:00:00,6.806451612903226,0.765483870967742,6.040967741935484
2022-06-01 00:00:00,7.175,1.2049999999999998,5.97
2022-07-01 00:00:00,7.75,1.6758064516129034,6.074193548387097
2022-08-01 00:00:00,8.233870967741936,2.33,5.903870967741936
2022-09-01 00:00:00,8.525862068965518,2.555,5.970862068965518
2022-10-01 00:00:00,9.25,3.08,6.17
2022-11-01 00:00:00,9.75,3.7800000000000002,5.97
2022-12-01 00:00:00,10.258064516129032,4.104193548387097,6.153870967741935
2023-01-01 00:00:00,10.5,4.33,6.17
2023-02-01 00:00:00,10.839285714285714,4.57,6.269285714285713
2023-03-01 00:00:00,11.008064516129032,4.6490322580645165,6.3590322580645156
2023-04-01 00:00:00,11.25,4.83,6.42
2023-05-01 00:00:00,11.25,5.055806451612903,6.194193548387097
2023-06-01 00:00:00,11.25,5.076333333333333,6.173666666666667
2023-07-01 00:00:00,11.25,5.12,6.13
2023-08-01 00:00:00,11.25,5.33,5.92
2023-09-01 00:00:00,11.25,5.33,5.92
2023-10-01 00:00:00,11.25,5.33,5.92
2023-11-01 00:00:00,11.25,5.33,5.92
2023-12-01 00:00:00,11.25,5.33,5.92
2024-01-01 00:00:00,11.25,5.33,5.92
2024-02-01 00:00:00,11.25,5.33,5.92
2024-03-01 00:00:00,11.169354838709678,5.33,5.839354838709678
2024-04-01 00:00:00,11.0,5.33,5.67
2024-05-01 00:00:00,11.0,5.33,5.67
2024-06-01 00:00:00,11.0,5.33,5.67
2024-07-01 00:00:00,11.0,5.33,5.67
2024-08-01 00:00:00,10.816666666666666,5.33,5.486666666666666
2024-09-01 00:00:00,10.716666666666667,5.13,5.586666666666667
2024-10-01 00:00:00,10.5,4.83,5.67
2024-11-01 00:00:00,10.362068965517242,4.638333333333334,5.723735632183908
2024-12-01 00:00:00,10.153225806451612,4.47516129032258,5.678064516129032
2025-01-01 00:00:00,10.0,4.33,5.67
2025-02-01 00:00:00,9.607142857142858,4.33,5.277142857142858
2025-03-01 00:00:00,9.435483870967742,4.33,5.105483870967742
2025-04-01 00:00:00,9.0,4.33,4.67
2025-05-01 00:00:00,8.741935483870968,4.33,4.411935483870968
2025-06-01 00:00:00,8.433333333333334,4.33,4.1033333333333335
2025-07-01 00:00:00,8.0,4.33,3.67
2025-08-01 00:00:00,7.806451612903226,4.33,3.476451612903226
2025-09-01 00:00:00,7.708333333333333,4.224666666666667,3.4836666666666662
2025-10-01 00:00:00,7.5,4.088064516129032,3.411935483870968
2025-11-01 00:00:00,7.3,3.8763333333333336,3.423666666666666
2025-12-01 00:00:00,7.145161290322581,3.7206451612903226,3.4245161290322583
2026-01-01 00:00:00,7.0,3.64,3.36
2026-02-01 00:00:00,7.0,3.64,3.36
2026-03-01 00:00:00,7.0,3.6399999999999997,3.3600000000000003
