Fecha,Suma,Tasa,Diferencia
2021-06-01 00:00:00,7.198605622851163,4.05,3.1486056228511634
2021-07-01 00:00:00,7.535815122296276,4.25,3.2858151222962757
2021-08-01 00:00:00,7.2920717179489545,4.403225806451613,2.8888459114973415
2021-09-01 00:00:00,7.740147991934424,4.5,3.240147991934424
2021-10-01 00:00:00,8.239542537738796,4.75,3.489542537738796
2021-11-01 00:00:00,9.774880576174036,4.908333333333333,4.866547242840703
2021-12-01 00:00:00,9.595107942638029,5.241935483870968,4.353172458767061
2022-01-01 00:00:00,10.270138825877881,5.5,4.770138825877881
2022-02-01 00:00:00,10.749973310972255,5.821428571428571,4.928544739543684
2022-03-01 00:00:00,11.003677207039644,6.112903225806452,4.890773981233192
2022-05-01 00:00:00,11.772620998229854,6.806451612903226,4.966169385326628
2022-06-01 00:00:00,12.186338459360453,7.175,5.011338459360453
2022-07-01 00:00:00,12.26080663605494,7.75,4.510806636054941
2022-08-01 00:00:00,12.765423138043346,8.233870967741936,4.53155217030141
2022-09-01 00:00:00,13.189749565885107,8.525862068965518,4.663887496919589
2022-10-01 00:00:00,13.126815448118297,9.25,3.876815448118297
2022-11-01 00:00:00,12.726618869990768,9.75,2.9766188699907676
2022-12-01 00:00:00,12.547028676646088,10.258064516129032,2.2889641605170556
2023-01-01 00:00:00,12.540035423128426,10.5,2.040035423128426
2023-02-01 00:00:00,12.228863516023566,10.839285714285714,1.3895778017378522
2023-03-01 00:00:00,12.139258066395358,11.008064516129032,1.1311935502663264
2023-04-01 00:00:00,11.832845400591012,11.25,0.5828454005910118
2023-05-01 00:00:00,11.265302672241415,11.25,0.015302672241414683
2023-06-01 00:00:00,10.555553734718622,11.25,-0.6944462652813783
2023-07-01 00:00:00,10.145763086833451,11.25,-1.1042369131665488
2023-08-01 00:00:00,10.138013618409875,11.25,-1.1119863815901248
2023-09-01 00:00:00,10.41448780213693,11.25,-0.8355121978630695
2023-10-01 00:00:00,10.567000542801514,11.25,-0.6829994571984859
2023-11-01 00:00:00,10.233912474106528,11.25,-1.0160875258934716
2023-12-01 00:00:00,10.360889640886157,11.25,-0.8891103591138432
2024-01-01 00:00:00,10.643929132374186,11.25,-0.6060708676258137
2024-02-01 00:00:00,10.230762226075017,11.25,-1.0192377739249832
2024-03-01 00:00:00,10.320939488585463,11.169354838709678,-0.8484153501242151
2024-04-01 00:00:00,11.843210037160262,11.0,0.8432100371602615
2024-05-01 00:00:00,11.24676805846162,11.0,0.24676805846162075
2024-06-01 00:00:00,11.606055656948541,11.0,0.6060556569485414
2024-07-01 00:00:00,11.776163686040725,11.0,0.776163686040725
2024-08-01 00:00:00,11.07285962406888,10.816666666666666,0.25619295740221304
2024-09-01 00:00:00,10.46038733476791,10.716666666666667,-0.2562793318987566
2024-10-01 00:00:00,10.71154016951358,10.5,0.21154016951357946
2024-11-01 00:00:00,10.598670546616473,10.362068965517242,0.23660158109923124
2024-12-01 00:00:00,10.322339374343732,10.153225806451612,0.1691135678921203
2025-01-01 00:00:00,9.755039871214102,10.0,-0.24496012878589823
2025-02-01 00:00:00,9.673909530898179,9.607142857142858,0.0667666737553212
2025-03-01 00:00:00,9.441141237459448,9.435483870967742,0.005657366491705673
2025-04-01 00:00:00,9.15342067651261,9.0,0.15342067651261004
2025-05-01 00:00:00,9.528772886260425,8.741935483870968,0.7868374023894571
2025-06-01 00:00:00,8.887428711532468,8.433333333333334,0.4540953781991348
2025-07-01 00:00:00,8.112422520091474,8.0,0.11242252009147435
2025-08-01 00:00:00,8.218776514009686,7.806451612903226,0.4123249011064605
2025-09-01 00:00:00,8.090288065843609,7.708333333333333,0.3819547325102759
2025-10-01 00:00:00,7.55652147221328,7.5,0.05652147221328008
2025-11-01 00:00:00,7.9891908254744415,7.3,0.6891908254744417
2025-12-01 00:00:00,8.041944124277801,7.145161290322581,0.8967828339552204
2026-01-01 00:00:00,7.961301330750385,7.0,0.961301330750385
2026-02-01 00:00:00,7.953038219223496,7.0,0.9530382192234956
